time_sec,node_id,parent_id,rpl_ver,rpl_rank,dis_sent,dio_sent,dao_sent,nbr_dis_rcv,nbr_dio_rcv,nbr_dao_ack_rcv,nbr_fwd_to_me,nbr_fwd_to_others,nbr_fwd_bcast,nbr_rpl_ctrl,nbr_non_rpl_ctrl,nbr_rpl_ver_rcv,nbr_rpl_rank_rcv,nbr_fwd_rpl,nbr_fwd_non_rpl,diff_rpl_rank,diff_rpl_ver,norm_rank_diff,ctrl_to_data_ratio,non_rpl_to_rpl_ratio,rpl_fwd_ratio,non_rpl_fwd_ratio,total_fwd_ratio,label
256.0,6.0,7.0,152.0,881.0,25.0,2075.0,411.0,7.0,883.0,0.0,372.0,249.0,595.0,161.0,3.0,152.0,1008.0,1312.0,294.0,127.0,0.0,0.12599206,15.596273,0.01863354,0.12271342,0.010204081,0.1329175,0
165.81819,8.727273,11.000001,240.63637,420.2728,2.3636365,101.18182,7.636364,1.3636365,37.818184,0.0,30.454546,222.45456,21.18182,1.2727274,47.181824,236.27274,420.54547,1.8181819,64.27274,17.363636,4.3636365,0.03948723,52.818184,26.590912,0.5606061,0.5183613,1.0789675,1
220.36366,44.00001,6.9545465,240.00005,1550.4551,412.86365,109.86366,83.50002,254.81819,15.909091,0.0,7.18182,15.954546,266.04553,5.1363645,2.9545462,240.00005,848.9093,85.77274,15.36364,701.5456,0.0,0.4524015,119.13525,0.5840912,0.05977459,0.1948617,0.25463632,0
80.0,7.0,8.0,240.0,2420.0,61.0,880.0,137.0,12.0,327.0,0.0,225.0,177.0,187.0,51.0,77.0,240.0,688.0,388.0,332.0,1732.0,0.0,0.7157025,21.137255,1.5098039,0.13144329,0.23192771,0.363371,0
48.0,11.0,9.0,148.0,11076.0,42.0,342.0,79.0,5.0,188.0,0.0,131.0,129.0,62.0,90.0,0.0,77.0,7336.0,298.0,2.0,3740.0,71.0,0.33766702,5.1444445,0.0,0.30201343,0.0,0.30201343,1
226.50002,5.3125005,7.312501,193.56253,665.0002,29.625002,141.12503,51.125008,8.875002,83.50002,0.0,24.187504,254.81253,71.000015,3.3750002,8.687501,191.625,445.4376,14.437501,14.937501,219.56255,1.9375004,0.32955363,35.24899,3.1744285,0.24015716,0.11770833,0.35786548,0
156.0,21.0,16.0,189.25,11892.75,163.0,516.5,198.0,36.5,157.5,0.0,119.25,116.5,132.5,71.0,9.75,136.5,3967.0,596.75,149.0,7925.75,52.75,0.6663187,15.705302,0.1351361,0.11831264,0.11694226,0.23525488,1
348.80002,11.0,32.0,240.0,1798.0,177.8,0.0,0.0,110.0,298.0,0.0,294.0,247.0,114.0,342.0,1.0,240.0,1504.0,3454.0,6.0,294.0,0.0,0.16351502,0.51988304,0.0029239766,0.09901563,0.16666667,0.2656823,1
121.379326,24.86207,19.44828,237.74142,2987.846,205.13795,169.84486,140.44835,34.81036,25.22414,0.0,19.258625,31.517248,44.46553,13.586208,2.706897,232.91379,1903.225,155.34486,20.534492,1084.6208,4.827588,0.36316803,50.540867,0.16757496,0.09050839,0.105141856,0.19565025,0
157.33333,6.0000005,10.0,240.0,515.44446,0.0,1881.7778,5.8888893,0.0,1067.0001,0.0,633.0,1412.778,776.8889,20.77778,1009.55554,240.0,260.0,20.77778,1009.55554,255.44444,0.0,0.49449196,91.38831,48.85776,1.0,1.0,2.0,1
104.0,11.0,15.0,20.0,598.0,117.0,3118.0,520.0,34.0,276.0,0.0,267.0,205.0,44.0,177.0,3.0,20.0,565.0,3376.0,29.0,33.0,0.0,0.055183947,21.21469,0.016949153,0.05242891,0.10344828,0.15587719,1
355.07693,11.538465,15.538462,139.0,888.4617,133.15387,1909.4617,453.38464,216.38463,726.07697,0.0,685.30774,757.1539,270.0,434.6154,13.307695,139.0,4163.539,2070.2312,37.769238,3275.0771,0.0,0.78466797,5.873962,0.033806797,0.21611165,0.28091472,0.49702638,0
157.71431,19.04762,19.904768,232.66672,2522.81,323.00003,12.285717,14.809527,9.000002,4.904762,0.0,3.0952384,7.8095255,11.57143,1.0952381,1.0,235.04762,2619.6194,1.5714288,1.9047619,96.809525,2.3809528,0.03683773,332.57153,0.95238096,0.931973,0.54761904,1.4795921,0
303.60007,27.70001,24.975008,173.87506,1324.0254,449.8501,4790.251,851.4002,108.87502,631.2253,0.0,616.5252,448.80005,128.17503,373.70007,4.5500026,173.60002,2350.3257,5252.726,41.100018,1026.3002,3.9250016,0.4287985,17.446531,0.013117211,0.071260914,0.15419267,0.2254536,0
404.0,16.0,12.0,29.0,653.0,157.0,2534.0,562.0,47.5,526.5,0.0,777.5,896.0,304.5,343.5,419.5,30.0,896.5,3566.5,3070.0,243.5,23.0,0.22465663,9.469406,1.2283795,0.096307516,0.13664879,0.2329563,1
408.0,11.0,12.0,240.0,11541.0,595.0,6199.0,1359.0,159.0,575.0,0.0,540.0,424.0,199.0,312.0,8.0,240.0,3311.0,6757.0,155.0,8230.0,0.0,0.7131098,26.13141,0.025641026,0.046174336,0.051612902,0.09778724,0
312.0,6.0,15.0,196.0,1398.0,140.0,1642.5,266.5,56.0,653.0,0.0,686.0,821.0,496.5,189.5,459.5,81.0,953.5,1455.0,1889.0,444.5,115.0,0.31367248,10.811831,2.4251199,0.13023558,0.24325034,0.37348592,1
408.0,4.0,10.0,240.0,396.0,3.0,105.0,16.0,1.0,44.0,0.0,710.0,1878.0,26.0,172.0,2595.0,240.0,397.0,172.0,2809.0,1.0,0.0,0.0025188916,0.7209302,15.08721,1.0,0.9238163,1.9238163,1
120.0,38.0,13.0,240.0,5650.0,174.0,1327.0,242.0,76.0,529.0,0.0,518.0,375.0,109.0,311.0,22.0,240.0,1610.0,4877.0,162.0,4040.0,0.0,0.71504426,5.6045017,0.07073955,0.06376871,0.13580246,0.19957118,1
